measureDevice,measurePt,yPos,yVelo,direction,yAccel,yJerk,index1_disp_peak,index2_disp_peak_moment,index3_disp_interval,index4_velo_peak,index5_velo_peak_moment,index6_velo_rising_time,index7_accel_peak,index8_accel_peak_moment,index9_accel_interval,useless
IDS,1,-3000,5000,1,2,140,-0.158156526993177,12.5954,9.72911056796572,5069.98255443769,0.289600000000007,0.208700000000007,1.26580748749605,4.89425,0.239258259255422,35
IDS,1,-3000,30000,1,2,140,-0.147054350647068,9.3756666666667,0.677943558946211,30419.7919891152,0.677950000000003,0.562800000000003,1.87301791213929,1.2043,0.616462221510581,36
IDS,1,0,5000,1,3,40,-0.0278435217763236,NaN,2.44314816697493,5213.34993592952,0.260199999999999,0.1877,1.41225214777862,4.88645,0.231104332248124,37
IDS,1,0,30000,1,3,40,-0.00611043334333772,9.0925333333333,0.587305685592369,30594.8425978708,0.587150000000001,0.446950000000001,2.77567397290836,1.17455,0.593610481100579,38
IDS,1,-1500,5000,1,3,40,-0.0861017219786694,12.2595666666667,2.44321821232124,5048.37365247621,0.260249999999999,0.1877,1.41208715443508,4.88645,0.215070004826354,39
IDS,1,-1500,30000,1,3,40,-0.065170465120597,9.0930333333333,0.587301915752484,30594.9306162891,0.587200000000003,0.447000000000003,2.7289314813523,1.1746,2.36642285463995,40
IDS,1,-3000,5000,1,3,40,-0.161943660378104,12.2596666666667,9.55066470973095,5048.87821533651,0.260299999999997,0.187799999999999,1.41110422256915,4.88645,0.215186365373443,41
IDS,1,-3000,30000,1,3,40,-0.146228805853601,9.0934333333333,0.587311402327264,30595.4869198274,0.587400000000002,0.447299999999999,2.72918256982624,1.17505,2.35499185711505,42
IDS,1,0,5000,1,3,80,-0.0260698713188295,NaN,2.43413432399346,5223.00014063059,0.2209,0.158849999999998,1.67632731781576,4.86845,0.196071803019818,43
IDS,1,0,30000,1,3,80,-0.00581540741010637,9.0601,0.58576333323441,30402.4942131679,0.585899999999997,0.417399999999999,2.78355903322061,1.17155,0.579274781663629,44
IDS,1,-1500,5000,1,3,80,-0.0872252073852451,12.2157333333334,2.43421273543131,5060.80603684564,0.220949999999998,0.158849999999998,1.67604141832096,4.86845,0.182278510268059,45
IDS,1,-1500,30000,1,3,80,-0.0655811898886138,9.0601333333333,0.58575468484586,30402.6948263715,0.585850000000001,0.417449999999999,2.78119096396209,1.17145,0.508202666370043,46
